id,mid,model,pid,tier,backend,runtime,pattern1_status,pattern1_pass,roundtrip_verdict,deterministically_verified,detail
36,m001,sonnet-4-6,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
38,m001,sonnet-4-6,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
40,m001,sonnet-4-6,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
42,m001,sonnet-4-6,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
44,m001,sonnet-4-6,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
46,m001,sonnet-4-6,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
48,m001,sonnet-4-6,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
50,m001,sonnet-4-6,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
52,m001,sonnet-4-6,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x) + C
54,m001,sonnet-4-6,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
56,m001,sonnet-4-6,p015,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,[
58,m001,sonnet-4-6,p016,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,"[-1/2*sqrt(33) + 5/2, 1/2*sqrt(33) + 5/2]"
60,m001,sonnet-4-6,p009,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/(s + 2)
62,m001,sonnet-4-6,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
64,m001,sonnet-4-6,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
66,m001,sonnet-4-6,p019,T4,sage,python,solver_error,0,NOT_EXECUTED,,
68,m001,sonnet-4-6,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
70,m001,sonnet-4-6,p020,T5,sage,python,complete,1,ROUNDTRIP_PASS,True,s/(s^2 + 4)
72,m002,gemma3,p001,T0,sympy,python,complete,1,ROUNDTRIP_FAIL,False,24*x
74,m002,gemma3,p011,T0,sympy,python,solver_error,0,NOT_EXECUTED,,
76,m002,gemma3,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
78,m002,gemma3,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
80,m002,gemma3,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
82,m002,gemma3,p012,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
84,m002,gemma3,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
86,m002,gemma3,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
88,m002,gemma3,p013,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
90,m002,gemma3,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
92,m002,gemma3,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x)
94,m002,gemma3,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
96,m002,gemma3,p015,T3,sage,python,complete,1,ROUNDTRIP_FAIL,False,x = []
98,m002,gemma3,p016,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,"[-1/2*sqrt(33) + 5/2, 1/2*sqrt(33) + 5/2]"
100,m002,gemma3,p009,T4,sage,python,complete,1,ROUNDTRIP_FAIL,False,1/((s + 2)*s)
102,m002,gemma3,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
104,m002,gemma3,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
106,m002,gemma3,p019,T4,sage,python,solver_error,0,NOT_EXECUTED,,
108,m002,gemma3,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
110,m002,gemma3,p020,T5,sage,python,complete,1,ROUNDTRIP_PASS,True,s/(s^2 + 4)
112,m003,gemma4:e2b,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x*(x**2 - 1)
114,m003,gemma4:e2b,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
116,m003,gemma4:e2b,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
118,m003,gemma4:e2b,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
120,m003,gemma4:e2b,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
122,m003,gemma4:e2b,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
124,m003,gemma4:e2b,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
126,m003,gemma4:e2b,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
128,m003,gemma4:e2b,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
130,m003,gemma4:e2b,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
132,m003,gemma4:e2b,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x) + C
134,m003,gemma4:e2b,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
136,m003,gemma4:e2b,p015,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,[
138,m003,gemma4:e2b,p016,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,"[-1/2*sqrt(33) + 5/2, 1/2*sqrt(33) + 5/2]"
140,m003,gemma4:e2b,p009,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/(s + 2)
142,m003,gemma4:e2b,p017,T4,sage,python,plan_error,0,NOT_EXECUTED,,
144,m003,gemma4:e2b,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
146,m003,gemma4:e2b,p019,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [I, -1, -I, 1]"
148,m003,gemma4:e2b,p010,T5,sage,python,complete,1,UNPARSEABLE,,"SyntaxError: invalid syntax (<string>, line 1) (rhs='x = [1, 2]')"
150,m003,gemma4:e2b,p020,T5,sage,python,complete,1,ROUNDTRIP_PASS,True,s/(s^2 + 4)
152,m004,qwen2.5,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x**3 - 4*x
154,m004,qwen2.5,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
156,m004,qwen2.5,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
158,m004,qwen2.5,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
160,m004,qwen2.5,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
162,m004,qwen2.5,p012,T1,sympy,python,complete,1,ROUNDTRIP_FAIL,False,-1 + x**(-2)
164,m004,qwen2.5,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
166,m004,qwen2.5,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
168,m004,qwen2.5,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
170,m004,qwen2.5,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
172,m004,qwen2.5,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x) + C
174,m004,qwen2.5,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
176,m004,qwen2.5,p015,T3,sage,python,solver_error,0,NOT_EXECUTED,,
178,m004,qwen2.5,p016,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,"[-1/2*sqrt(33) + 5/2, 1/2*sqrt(33) + 5/2]"
180,m004,qwen2.5,p009,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/(s + 2)
182,m004,qwen2.5,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
184,m004,qwen2.5,p018,T4,sage,python,solver_error,0,NOT_EXECUTED,,
186,m004,qwen2.5,p019,T4,sage,python,solver_error,0,NOT_EXECUTED,,
188,m004,qwen2.5,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
190,m004,qwen2.5,p020,T5,sage,python,complete,1,ROUNDTRIP_PASS,True,s/(s^2 + 4)
192,m005,deepseek-v2:16b,p001,T0,sympy,python,solver_error,0,NOT_EXECUTED,,
194,m005,deepseek-v2:16b,p011,T0,sympy,python,complete,1,ROUNDTRIP_FAIL,False,x**2 - 1
196,m005,deepseek-v2:16b,p002,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
198,m005,deepseek-v2:16b,p003,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
200,m005,deepseek-v2:16b,p004,T1,sympy,python,complete,1,ROUNDTRIP_FAIL,False,3*x**2 - 12*x + 12
202,m005,deepseek-v2:16b,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
204,m005,deepseek-v2:16b,p005,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
206,m005,deepseek-v2:16b,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
208,m005,deepseek-v2:16b,p013,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
210,m005,deepseek-v2:16b,p014,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
212,m005,deepseek-v2:16b,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x) + C
214,m005,deepseek-v2:16b,p008,T3,sage,python,solver_error,0,NOT_EXECUTED,,
216,m005,deepseek-v2:16b,p015,T3,sage,python,complete,1,UNPARSEABLE,,"ValueError: cannot locate x,y in decomposition or output: '[' (rhs='[')"
218,m005,deepseek-v2:16b,p016,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,"[-1/2*sqrt(33) + 5/2, 1/2*sqrt(33) + 5/2]"
220,m005,deepseek-v2:16b,p009,T4,sage,python,solver_error,0,NOT_EXECUTED,,
222,m005,deepseek-v2:16b,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
224,m005,deepseek-v2:16b,p018,T4,sage,python,solver_error,0,NOT_EXECUTED,,
226,m005,deepseek-v2:16b,p019,T4,sage,python,complete,1,ROUNDTRIP_FAIL,False,(x - 1) * (x + 1) * (x^2 + 1)
228,m005,deepseek-v2:16b,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
230,m005,deepseek-v2:16b,p020,T5,sage,python,complete,1,ROUNDTRIP_FAIL,False,1/2*arctan(1/2*s)/s
232,m006,phi3,p001,T0,sympy,python,solver_error,0,NOT_EXECUTED,,
234,m006,phi3,p011,T0,sympy,python,solver_error,0,NOT_EXECUTED,,
236,m006,phi3,p002,T1,sympy,python,complete,1,ROUNDTRIP_FAIL,False,x + 1
238,m006,phi3,p003,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
240,m006,phi3,p004,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
242,m006,phi3,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
244,m006,phi3,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
246,m006,phi3,p006,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
248,m006,phi3,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
250,m006,phi3,p014,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
252,m006,phi3,p007,T3,sage,python,solver_error,0,NOT_EXECUTED,,
254,m006,phi3,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
256,m006,phi3,p015,T3,sage,python,complete,1,ROUNDTRIP_FAIL,False,
258,m006,phi3,p016,T3,sage,python,solver_error,0,NOT_EXECUTED,,
260,m006,phi3,p009,T4,sage,python,solver_error,0,NOT_EXECUTED,,
262,m006,phi3,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
264,m006,phi3,p018,T4,sage,python,solver_error,0,NOT_EXECUTED,,
266,m006,phi3,p019,T4,sage,python,solver_error,0,NOT_EXECUTED,,
268,m006,phi3,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
270,m006,phi3,p020,T5,sage,python,solver_error,0,NOT_EXECUTED,,
272,m007,phi4,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x*(x**2 - 1)
274,m007,phi4,p011,T0,sympy,python,complete,1,ROUNDTRIP_FAIL,False,1
276,m007,phi4,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
278,m007,phi4,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
280,m007,phi4,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
282,m007,phi4,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
284,m007,phi4,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
286,m007,phi4,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
288,m007,phi4,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
290,m007,phi4,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
292,m007,phi4,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x)
294,m007,phi4,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
296,m007,phi4,p015,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,[
298,m007,phi4,p016,T3,sage,python,complete,1,ROUNDTRIP_FAIL,False,[[]]
300,m007,phi4,p009,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/(s + 2)
302,m007,phi4,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
304,m007,phi4,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
306,m007,phi4,p019,T4,sage,python,solver_error,0,NOT_EXECUTED,,
308,m007,phi4,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
310,m007,phi4,p020,T5,sage,python,complete,1,ROUNDTRIP_PASS,True,s/(s^2 + 4)
312,m008,llama3.2,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x*(x - 1)*(x + 1)
314,m008,llama3.2,p011,T0,sympy,python,complete,1,ROUNDTRIP_FAIL,False,(x**2 + 1)/x**2
316,m008,llama3.2,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
318,m008,llama3.2,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
320,m008,llama3.2,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
322,m008,llama3.2,p012,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
324,m008,llama3.2,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
326,m008,llama3.2,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
328,m008,llama3.2,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
330,m008,llama3.2,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
332,m008,llama3.2,p007,T3,sage,python,solver_error,0,NOT_EXECUTED,,
334,m008,llama3.2,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
336,m008,llama3.2,p015,T3,sage,python,solver_error,0,NOT_EXECUTED,,
338,m008,llama3.2,p016,T3,sage,python,solver_error,0,NOT_EXECUTED,,
340,m008,llama3.2,p009,T4,sage,python,solver_error,0,NOT_EXECUTED,,
342,m008,llama3.2,p017,T4,sage,python,solver_error,0,NOT_EXECUTED,,
344,m008,llama3.2,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
346,m008,llama3.2,p019,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [I, -1, -I, 1]"
348,m008,llama3.2,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
350,m008,llama3.2,p020,T5,sage,python,complete,1,ROUNDTRIP_FAIL,False,1/(s + 2)
352,m009,lfm2.5,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x**3 - 4*x
354,m009,lfm2.5,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
356,m009,lfm2.5,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
358,m009,lfm2.5,p003,T1,sympy,python,plan_error,0,NOT_EXECUTED,,
360,m009,lfm2.5,p004,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
362,m009,lfm2.5,p012,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
364,m009,lfm2.5,p005,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
366,m009,lfm2.5,p006,T2,sympy,python,solver_error,0,NOT_EXECUTED,,
368,m009,lfm2.5,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
370,m009,lfm2.5,p014,T2,sympy,python,plan_error,0,NOT_EXECUTED,,
372,m009,lfm2.5,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x) + C
374,m009,lfm2.5,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
376,m009,lfm2.5,p015,T3,sage,python,plan_error,0,NOT_EXECUTED,,
378,m009,lfm2.5,p016,T3,sage,python,plan_error,0,NOT_EXECUTED,,
380,m009,lfm2.5,p009,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/(s + 2)
382,m009,lfm2.5,p017,T4,sage,python,plan_error,0,NOT_EXECUTED,,
384,m009,lfm2.5,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
386,m009,lfm2.5,p019,T4,sage,python,solver_error,0,NOT_EXECUTED,,
388,m009,lfm2.5,p010,T5,sage,python,plan_error,0,NOT_EXECUTED,,
390,m009,lfm2.5,p020,T5,sage,python,complete,1,ROUNDTRIP_FAIL,False,1/((s^2 + 4)*s)
392,m010,rnj-1,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x*(x**2 - 1)
394,m010,rnj-1,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
396,m010,rnj-1,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
398,m010,rnj-1,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
400,m010,rnj-1,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
402,m010,rnj-1,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*x + 2) + 1/(2*x - 2)
404,m010,rnj-1,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
406,m010,rnj-1,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
408,m010,rnj-1,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
410,m010,rnj-1,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
412,m010,rnj-1,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x)
414,m010,rnj-1,p008,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,-1/2*cos(x)^2
416,m010,rnj-1,p015,T3,sage,python,complete,1,UNPARSEABLE,,"ValueError: cannot locate x,y in decomposition or output: '[' (rhs='[')"
418,m010,rnj-1,p016,T3,sage,python,solver_error,0,NOT_EXECUTED,,
420,m010,rnj-1,p009,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/(s + 2)
422,m010,rnj-1,p017,T4,sage,python,complete,1,UNPARSEABLE,,"SyntaxError: invalid syntax (<string>, line 1) (rhs='x = []')"
424,m010,rnj-1,p018,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,1/6*pi^2
426,m010,rnj-1,p019,T4,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [I, -1, -I, 1]"
428,m010,rnj-1,p010,T5,sage,python,solver_error,0,NOT_EXECUTED,,
430,m010,rnj-1,p020,T5,sage,python,complete,1,ROUNDTRIP_PASS,True,s/(s^2 + 4)
432,m001,sonnet-4-6,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x**3 - 4*x
433,m001,sonnet-4-6,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x**3 - 4*x
434,m001,sonnet-4-6,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x**3 - 4*x
438,m001,sonnet-4-6,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
439,m001,sonnet-4-6,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
440,m001,sonnet-4-6,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
444,m001,sonnet-4-6,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
445,m001,sonnet-4-6,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
446,m001,sonnet-4-6,p002,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,(x + 1)**2
450,m001,sonnet-4-6,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
451,m001,sonnet-4-6,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
452,m001,sonnet-4-6,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
456,m001,sonnet-4-6,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
457,m001,sonnet-4-6,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
458,m001,sonnet-4-6,p004,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,x = [2]
462,m001,sonnet-4-6,p012,T1,sympy,python,unknown,0,NOT_EXECUTED,,
463,m001,sonnet-4-6,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
464,m001,sonnet-4-6,p012,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,-1/(2*(x + 1)) + 1/(2*(x - 1))
468,m001,sonnet-4-6,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
469,m001,sonnet-4-6,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
470,m001,sonnet-4-6,p005,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,exp(x)
474,m001,sonnet-4-6,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
475,m001,sonnet-4-6,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
476,m001,sonnet-4-6,p006,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
480,m001,sonnet-4-6,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
481,m001,sonnet-4-6,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
482,m001,sonnet-4-6,p013,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,x**5/120 - x**3/6 + x
486,m001,sonnet-4-6,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
487,m001,sonnet-4-6,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
488,m001,sonnet-4-6,p014,T2,sympy,python,complete,1,ROUNDTRIP_PASS,True,1
492,m001,sonnet-4-6,p007,T3,sage,python,complete,1,ROUNDTRIP_PASS,True,1/2*sqrt(-x^2 + 4)*x + 2*arcsin(1/2*x) + C
