recipe_id,recipe_name,spl_script_name,problem_description,solver_domain,solver_library,known_optimal,verification_class,n_variables,objectives
31,Sentiment Pipeline,sentiment.spl,"Batch sentiment over a list, aggregate trend statistics",LLM-workflow,LLM-only,,probabilistic,,
32,Socratic Tutor,socratic_tutor.spl,Ask guiding questions rather than giving answers — persona-constrained generation,LLM-workflow,LLM-only,,probabilistic,,
33,Interview Simulator,interview_sim.spl,Two-persona structured Q&A with per-question scoring and overall evaluation,LLM-workflow,LLM-only,,probabilistic,,
34,Progressive Summarizer,progressive_summary.spl,Layered summary: sentence → paragraph → page with fidelity verification,LLM-workflow,LLM-only,,probabilistic,,
35,Hypothesis Tester,hypothesis.spl,Generate hypothesis → design test → evaluate evidence → conclude,LLM-workflow,LLM-only,,probabilistic,,
36,Tool-Use / Function-Call,tool_use.spl,"Register Python functions as CALL-able tools — deterministic math, zero LLM cost",Tool-Use,LLM-only + TOOL_API,,C1,,
37,Headline News Aggregator,headline_news.spl,Generate → expand → evaluate coverage → daily news digest for any topic area,LLM-workflow,LLM-only,,probabilistic,,
38,Bedrock Quickstart,bedrock_quickstart.spl,Fan out to three AWS Bedrock model families (Claude + Nova) and compare — adapter smoke test for enterprise environments,LLM-workflow,LLM-only,,probabilistic,,
39,Vertex AI Quickstart,vertex_quickstart.spl,Fan out to three Gemini tiers (Pro / Flash / Lite) on GCP Vertex AI and compare — adapter smoke test for GCP environments,LLM-workflow,LLM-only,,probabilistic,,
40,Azure OpenAI Quickstart,azure_openai_quickstart.spl,Fan out to three Azure OpenAI deployments (GPT-4o / GPT-4o mini / GPT-3.5 Turbo) and compare — adapter smoke test for Azure environments,LLM-workflow,LLM-only,,probabilistic,,
41,Human Steering,human_steering.spl,Human-in-the-loop: draft → pause for stdin feedback → conditionally refine — demonstrates EVALUATE on human input,LLM-workflow,LLM-only,,probabilistic,,
42,Knowledge Synthesis,knowledge_synthesis.spl,"RAG-writer pattern: extract 3 insights via LLM, persist to vector store via CALL rag_update — agents that write back to the knowledge base",RAG,LLM-only + vector-db,,probabilistic,,
43,Prompt Self-Tuning,prompt_self_tuning.spl,"Meta-programming: generate two improved prompt variants, A/B test via check_quality, select winner — automated prompt optimization",LLM-workflow,LLM-only,,probabilistic,,
44,Adaptive Failover,adaptive_failover.spl,Resilience: try primary model → quality gate → auto-failover to stronger model if needed — GENERATE USING MODEL @var,LLM-workflow,LLM-only,,probabilistic,,
45,Vision to Action,vision_to_action.spl,"LLM classifies image description into DELIVERY/INTRUSION/IGNORE — deterministic EVALUATE decision tree, zero-cost routing",LLM-workflow,LLM-only,,probabilistic,,
46,MCP Integration,mcp.spl,Discover and invoke tools via Model Context Protocol; LLM selects tool and parameters from the discovered tool list; dispatches via HTTP to an MCP server or falls back to a local embedded implementation — DODA across deployment modes via a single EVALUATE branch,Tool-Use,LLM-only + MCP,,probabilistic,,
47,arXiv Morning Brief,arxiv_morning_brief.spl,"Download arXiv PDFs → chunk → summarize each → reduce → assemble Markdown brief — WHILE loop, list tools, WITH OUTPUT BUDGET",RAG,LLM-only + PDF,,probabilistic,,
48,Credit Risk Assessment,assess_credit_risk.spl,Fin-service: deterministic score gate → LLM qualitative review → EVALUATE routing — APPROVED / MANUAL_REVIEW / REJECTED,Finance,LLM-only + rules,,C1,,
49,Regulatory News Audit,audit_news.spl,"Fin-service: WHILE loop over news feed — LLM compliance audit per item, JSON risk extraction, CRITICAL ALERT on high-risk findings",Finance,LLM-only,,probabilistic,,
50,Code Pipeline,00_analyze_spec.spl,NDD closure: generate → review → improve → test → document → spec_judge (TEXT → TEXT),Code-Generation,LLM-only,,probabilistic,,
51,Image Caption,image_caption.spl,Describe / analyse / OCR an image using Gemma4 vision (IMAGE → TEXT),Multimodal,LLM-vision,,probabilistic,,
52,Audio Summary,audio_summary.spl,Transcribe / summarise / extract key points from audio (AUDIO → TEXT),Multimodal,LLM-audio,,probabilistic,,
53,Video Summary,video_summary.spl,Summarise / transcribe / extract key moments from a video using gemma4 (VIDEO → TEXT),Multimodal,LLM-video,,probabilistic,,
54,Text to Image,text_to_image.spl,Generate an image from a text prompt using gpt-image-1 (TEXT → IMAGE),Multimodal,gpt-image-1,,none,,
55,Text to Speech,text_to_speech.spl,Convert text to natural speech and save as audio file (TEXT → AUDIO),Multimodal,TTS-API,,none,,
56,Text to Video,text_to_video.spl,Generate a video clip from a text prompt via Google Veo 2 / RunwayML (TEXT → VIDEO),Multimodal,Veo2/RunwayML,,none,,
57,Image Format Conversion,image_convert.spl,"Convert image between formats: PNG ↔ JPEG ↔ WebP ↔ BMP (IMAGE → IMAGE, codec only)",Multimodal,codec-only,,none,,
58,Image Restyle,image_restyle.spl,"Analyse image with Gemma4 vision, restyle with DALL-E 3 (IMAGE+TEXT → TEXT+IMAGE)",Multimodal,LLM-vision + DALL-E,,none,,
59,Audio Format Conversion,audio_convert.spl,"Convert audio between formats: WAV ↔ MP3 ↔ OGG ↔ FLAC (AUDIO → AUDIO, codec only)",Multimodal,codec-only,,none,,
60,Voice Dialogue,voice_dialogue.spl,Full voice assistant pipeline: transcribe → respond → speak (AUDIO+TEXT → TEXT+AUDIO),Multimodal,STT + TTS,,none,,
61,Video to Audio,video_to_audio.spl,"Extract audio track from a video file: .mp4 → .mp3 / .wav / .flac (VIDEO → AUDIO, codec only)",Multimodal,codec-only,,none,,
62,Video to Image,video_to_image.spl,Extract frame(s) from a video; optionally caption with gemma4 vision (VIDEO → IMAGE),Multimodal,codec-only,,none,,
63,Parallel Code Review,00_style_review.spl,"Style, security, and test-generation reviews run concurrently via CALL PARALLEL; merged into one report (TEXT → TEXT)",Code-Verification,LLM-only,,probabilistic,,
64,Parallel News Digest,parallel_news_digest.spl,Summarise three news topics concurrently via CALL PARALLEL; merge into a morning briefing (TEXT → TEXT),LLM-workflow,LLM-only,,probabilistic,,
65,LLM-powered SPL Compiler (vibe-splc),llm_splc.spl,Compiles a .spl workflow to a target framework (langgraph / autogen / crewai) using LLM; complements the deterministic splc compiler — run both and cross-compare to surface gaps,LLM-workflow,LLM-only,,probabilistic,,
66,Mixed-Regime Stock Analysis,stock_analysis.spl,"Demonstrates CREATE TOOL_API: deterministic Python tools (fetch_ohlcv, compute_metrics) + LLM analysis (interpret_metrics, synthesize_report) in one self-contained .spl file",Finance,LLM-only + TOOL_API,,C2,,
67,Symbolic Math Solver,hello_symbolic_math.spl,Demonstrates SymPy as kernel deterministic substrate: LLM parses NL problem → SymPy solves exactly → LLM explains result. Shows LLM handling only what it is uniquely suited for.,Symbolic-Math,SymPy,symbolic exact answer,C1,1-3,
68,Answer-First Problem Generator,problem_generator.spl,SymPy generates exact answers first; LLM writes word problems and worked solutions around them. Hallucination on math is structurally impossible.,Symbolic-Math,SymPy,symbolic exact answer,C1,1-3,
69,Jupyter Notebook Generator,notebook_gen.spl,"Persistent IPython kernel (--kernel) keeps state live across CALL run_python steps — the kernel does exact eigendecomposition and symbolic A·v=λ·v verification (SymPy), the LLM only writes prose narrative; assembles and writes a real, runnable .ipynb",Symbolic-Math,IPython-kernel,,C2,,
70,Linear Algebra Core Concepts (Content-Cache Experiment),chapter-1-vector-spaces-1A-real-complex.spl,"Two independently-run workflows share one content-addressed, write-once cache (cache_get/cache_put) — verified prose generated once by one script survives being asked for again by a different script, with zero extra LLM calls; a trimmed-down rehearsal for recipe 71's full curriculum pipeline",Education,LLM-only + cache,,probabilistic,,
71,Linear Algebra Concept-Book Generator,answer_on_demand.spl,"Domain concept graph (37 nodes/51 edges, networkx.DiGraph) + style profiles drive a graph-curriculum-ordered, style-guided, SymPy-verified concept-book pipeline — compiled to a runnable notebook via the python/linalg splc target (DODA: logical .spl view → physical notebook artifact)",Education,networkx + LLM,,probabilistic,37n/51e,
72,Verify arXiv References,verify_arxiv_references.spl,"Citation-integrity checker: scans free text for arXiv citations (no '## References' heading required; repeat citations of the same id are deduped), looks up ground-truth metadata via the public arXiv Atom API, downloads each PDF, and has the LLM write a verified-abstract digest into a summary CSV — automates the spot-check a careful reviewer does by hand",LLM-workflow,LLM-only,,probabilistic,,
73,Intro Geometry Concept-Book Generator,answer_on_demand.spl,"Sibling to recipe 71, retargeted at intro (plane) geometry: a 29-node/50-edge concept graph where 'distance' and 'angle' radicals meet at trigonometric_ratios, plus two new K-12 style profiles (middle_school, high_school) proving styles are additive. Both build_concept_book and answer_on_demand notebooks validated end-to-end.",Education,networkx + LLM,,probabilistic,29n/50e,
74,Concept-Book Generator,build_concept_book.spl,"Generic domain concept-book: ONE .spl workflow + graph_lib.py + declarative {domain}_graph.yaml drives concept-book generation for any domain (linalg, geometry, mechanics, music, Chinese characters, ...). Runtime-resolved via @domain_yaml — compiled once, runs against any domain shaped the same way.",Education,networkx + LLM,,probabilistic,,
75,SageMath Solver,basic_sagemath.spl,"Second rung of the verifier ladder: LLM parses NL problem → Sage kernel computes exact answer (Galois group, rational point, elliptic curve rank, factorization) → LLM explains. Requires --kernel-name sagemath.",Symbolic-Math,SageMath,symbolic exact answer,C1,1-3,
76,Lean Proof Verifier,lean_proof.spl,Top rung of the verifier ladder (milestone B-3): LLM formalizes a prose claim → Lean 4 elaborates the statement → LLM writes tactics → Lean kernel-checks the proof. Repair loops fed Lean's actual diagnostics (≤ max_tries). Badges: machine_proved (kernel-checked) / statement_checked / unverified. Citation path (exact?) runs before proof-writing — a library hit costs zero tokens. Built on spl3/lean_bridge.py (15/15 tests green).,Formal-Proof,Lean4,proof verified,C7,,
77,Neurosymbolic Verifier Ladder,symbolic_math.spl,"Capstone of the verifier ladder: ONE declarative workflow puts all three deterministic rungs (SymPy from recipe 67, SageMath from recipe 75, Lean 4 + mathlib from recipe 76) behind the same problem text via a single --param backend= flip. LLM decomposes/formalizes/narrates (probabilistic); the chosen kernel computes exact instances (SymPy/Sage) or kernel-checks statements against mathlib (Lean), returning a badge (machine_proved/statement_checked/unfaithful/unverified). enable_solver=false runs the unaided-LLM baseline for direct A/B comparison. Backed by a cross-model experiment harness (run_experiment.py) with round-trip verification across ~1,200 cells.",Symbolic-Math,SymPy + SageMath,symbolic exact answer,C7,1-5,
78,Constraint Optimization,constraint_opt.spl,"Demonstrates SPL's deterministic-probabilistic boundary: LLM reads a natural-language LP problem and generates PuLP solver code (probabilistic), PuLP/CBC finds the optimal solution with a proof of optimality (deterministic), ASSERT gates on solver status (formal verification), LLM interprets the result (probabilistic). Repair loop retries up to max_tries on Error/Infeasible. Default problem: bakery production planning (known optimum: bread=3, croissants=3, profit=$60). Requires: pip install pulp.",LP/ILP,PuLP+CBC,production=$200; transport=$370; scheduling=$1080; portfolio=28,C1,2-20,(profit) or (cost)
79,Code Generation + Pytest Verification,code_pytest.spl,"Upgrades recipe 50 (code_pipeline) by replacing the LLM-simulated test step with real pytest execution. LLM generates code AND tests independently from the spec; CALL run_pytest() executes both in a subprocess; ASSERT all_tests_passed() gates on the deterministic verdict. The repair loop feeds actual pytest tracebacks back to the LLM. Demonstrates that SPL's ASSERT is a formal correctness certificate, not a proxy for execution success. TMLR appendix: Domain #3 — Software Development.",Code-Verification,pytest,all tests pass,C1,,
80,OpenCV Scene Triage,opencv5_parallel_inspect.spl,"OpenCV measures pixels deterministically and cheaply, SPL's LLM step reasons over the resulting structured report.",Multimodal,OpenCV + LLM,,C2,,
81,Graph Reasoning,graph_reasoning.spl,"Extends the verifier ladder into discrete/combinatorial math: LLM reads a natural-language graph problem and writes networkx code (probabilistic), networkx computes the exact shortest-path/bipartite/cycle answer (deterministic), ASSERT gates on tool success, LLM interprets the result and restates a Final answer line, a deterministic classify_roundtrip() check confirms the LLM's stated answer matches the networkx ground truth. Repair loop retries up to max_tries on Error. Default problem: 6-warehouse shortest-path network (known optimum: A-C-B-D-E-F, distance=13). Requires: networkx (already installed).",Graph,networkx,shortest path / matching verified,C2,varies,
82,Logic Puzzle Solver,logic_puzzle_solver.spl,"Adds a CSP verifier class distinct from 78's LP/numeric optimization: LLM reads a natural-language zebra-style logic puzzle and writes python-constraint code (probabilistic), the CSP solver enumerates all solutions (deterministic), ASSERT gates on a Unique solution being found, LLM interprets the result and restates a Final answer line, a deterministic classify_roundtrip() check confirms the LLM's stated answer matches the solver's unique solution. Repair loop retries up to max_tries on Error/Ambiguous/NoSolution. Default problem: 3-house zebra-lite puzzle (known unique answer: the Dane drinks Coffee). Requires: pip install python-constraint.",CSP,python-constraint,unique solution,C1,5,
83,Unit / Dimensional Check,unit_dimensional_check.spl,"Demonstrates a categorical (not numeric-fuzzy) verifier for physics/engineering word problems: LLM writes pint unit-aware code (probabilistic), pint executes the calculation with units attached and raises DimensionalityError on any unit mismatch (deterministic), ASSERT gates on dimensional consistency, LLM interprets the result and restates a Final answer line, a deterministic classify_roundtrip() check confirms the LLM's stated answer matches pint's computed magnitude (0.5% tolerance). Repair loop retries up to max_tries on Error. Default problem: kinematics (car accelerating from rest; known answer: 108 km/h). Requires: pip install pint.",Dimensional-Analysis,pint,no DimensionalityError,C1,1-3,
84,SQL Verifier,sql_verifier.spl,"Text-to-SQL with a row-level verifier: LLM writes a SQL SELECT from a natural-language question (probabilistic), stdlib sqlite3 executes it against a seeded in-memory database (deterministic), ASSERT gates on clean execution, a deterministic classify_roundtrip() function row-diffs the LLM's result against an independently-authored ground-truth SQL query over the same seeded data, LLM interprets the verified rows. Repair loop retries up to max_tries on SQL error. Default question: average Engineering salary (known ground truth: $97,333.33). Requires: stdlib sqlite3 only, no new pip dependency.",SQL,sqlite3,row-diff vs ground truth,C4,table rows,
85,Property-Based Code Verification,property_based_code_verify.spl,"Upgrades recipe 79's example-based pytest verification one rung further: LLM generates an implementation AND independent Hypothesis properties from the same spec (probabilistic), pytest+Hypothesis execute the properties against hundreds of auto-generated inputs in a subprocess (deterministic), ASSERT gates on all properties passing (a genuine falsifying example is never repaired away, only broken test-harness code is), LLM interprets the verified result, a deterministic classify_roundtrip() check confirms the LLM's narration agrees with the actual pass/fail verdict. Default spec: merge two sorted lists. Requires: pip install hypothesis pytest.",Code-Verification,Hypothesis,property holds for all inputs,C6,,
86,Financial Calculation Verifier,financial_calc_verifier.spl,"Demonstrates exact closed-form arithmetic verification for compound-interest/loan-amortization word problems: LLM writes stdlib decimal code implementing the correct formula (probabilistic), Decimal arithmetic computes the exact figure with no floating-point drift (deterministic), ASSERT gates on clean execution, LLM interprets the result and restates a Final answer line, a deterministic classify_roundtrip() check confirms the LLM's stated dollar figure matches the Decimal-computed ground truth (1 cent / 0.5% tolerance). Repair loop retries up to max_tries on Error. Default problem: 5-year loan amortization (known answer: $193.33/month). Requires: stdlib decimal only, no new pip dependency.",Financial-Calc,decimal,cent-level tolerance,C2,3-4,
87,Route Optimization,route_optimization.spl,"A second, harder optimization class beyond recipe 78's linear program: LLM writes Google OR-Tools vehicle-routing code from a natural-language logistics problem (probabilistic), OR-Tools' combinatorial routing solver searches the NP-hard space and returns a feasible route with its total distance (deterministic), ASSERT gates on a feasible route being found, LLM interprets the route and restates a Final answer line, a deterministic classify_roundtrip() check confirms the LLM's stated total distance matches the solver's computed ground truth. Repair loop retries up to max_tries on Error. Default problem: 1 depot + 5 customer TSP (known optimum: 101 miles). Requires: pip install ortools.",Routing/VRP,OR-Tools-routing,feasible route found,C1,n stops,
90,Physics Conservation Check,physics_conservation.spl,"Opens the computational-science domain: a categorical + numeric verifier for 1-D collision problems. LLM writes NumPy code reporting final-state velocities (probabilistic); run_conservation_check() independently recomputes total momentum and kinetic energy before/after from the reported values (deterministic, never trusts the code's own self-report); ASSERT gates on momentum (and, for elastic collisions, energy) being conserved within 1% tolerance. Repair loop retries up to max_tries on a conservation-law violation. LLM interprets the verified velocity and restates a Final answer line, cross-checked by classify_roundtrip() (0.5% tolerance). Default problem: elastic collision, equal masses (known answer: ball 1 stops at 0 m/s). Requires: numpy only, no new pip dependency.",Physics-Sim,NumPy,momentum conserved within 1%,C3,2,
91,Chemical Equation Balancing,chemistry_balance.spl,"Second computational-science recipe: a categorical mass-balance verifier for chemical equations, with no chemistry library dependency. LLM proposes a strict-format balanced equation with explicit integer coefficients (probabilistic); run_balance_check() parses every formula (recursive-descent parser, supports parentheses e.g. Ca(OH)2) and sums atoms x coefficient per element on each side (deterministic); ASSERT gates on exact mass balance for every element. Repair loop retries up to max_tries on a mismatched element. LLM interprets the verified equation and restates a Final answer coefficient line, cross-checked by classify_roundtrip(). Default problem: combustion of methane (known answer: 1 CH4 + 2 O2 -> 1 CO2 + 2 H2O). Requires: stdlib re only, no new pip dependency.",Chemistry,NumPy,mass balance satisfied,C3,elements,
92,Crystal Structure Check,materials_crystal.spl,"Third computational-science recipe: stacks two independent oracles (categorical symmetry + numeric density round-trip) in one ASSERT. LLM writes Python code reporting a crystal system, lattice parameters, Z, molar mass, and computed density (probabilistic); run_materials_check() independently verifies the claimed crystal system's own symmetry constraints (cubic: a=b=c, angles=90; hexagonal: a=b, gamma=120; etc.) and recomputes cell volume (general triclinic formula) and theoretical density from scratch via Avogadro's number (deterministic); ASSERT gates on both symmetry holding and density matching within 1%. Repair loop retries up to max_tries. LLM interprets the verified density and restates a Final answer line, cross-checked by classify_roundtrip(). Default problem: NaCl rock-salt structure (known answer: ~2.1636 g/cm^3). Requires: stdlib math only, no new pip dependency.",Materials-Science,NumPy,density round-trip within tolerance,C3,lattice params,
93,Automated Planning (PDDL / STRIPS),auto_planning.spl,"Opens the automated-planning domain: GENERATE plan -> CALL validator -> ASSERT valid -> WHILE repair, the two-phase pattern applied to STRIPS-style planning (LLM+P / DUPLEX generalized into a head-to-head baseline). LLM proposes a grounded JSON action plan over a fixed logistics-lite domain (truck, packages, locations; drive/load/unload actions) (probabilistic); run_plan_check() replays the plan action-by-action against the domain's STRIPS precondition/effect semantics, a minimal VAL-style validator (deterministic); ASSERT gates on every action's precondition holding AND the goal being reached. Repair loop retries up to max_tries, fed the exact failing step and reason. LLM interprets the validated plan and restates a Final answer step-count line, cross-checked by classify_roundtrip(). Default problem: deliver 2 packages to a common destination (known minimal plan: 6 steps). Requires: stdlib json only, no new pip dependency.",Planning/PDDL,PDDL-validator,valid plan found,C1,actions,
94,Text-to-SQL with Data-Quality Gates,text2sql_quality.spl,"Opens the data-engineering domain, extending recipe 84's row-diff verifier with Great-Expectations-style data-quality gates. LLM writes SQL from a natural-language question (probabilistic); run_quality_gated_sql() checks referential integrity (every orders.customer_id exists in customers.id), requires a non-empty result, and computes the same statistic two structurally independent SQL formulations (AVG(x) vs SUM(x)/COUNT(x)) asserting they agree within 1e-6 (deterministic, independent of the LLM's query); ASSERT gates on clean execution AND all quality gates passing. Repair loop retries up to max_tries on any gate failure. classify_roundtrip() row-diffs (order-insensitive, float-tolerant) the LLM's result against an independently-authored ground-truth query; LLM interprets the verified, quality-gated answer. Default question: average Enterprise-segment order amount (known ground truth: $6,000.00). Requires: stdlib sqlite3 only, no new pip dependency.",Data-Engineering,sqlite3 + GX-style,row-diff + quality gates pass,C4+C5,table rows,
95,Music Theory: Chorale Voice-Leading,music_theory.spl,"The 'unexpected domain' demonstration: an LLM harmonizes a given soprano melody into a four-part chorale (probabilistic); check_voice_leading() deterministically checks parallel fifths/octaves between every voice pair across consecutive beats, voice crossing, adjacent-voice spacing, and large leaps (pure interval arithmetic on MIDI pitch numbers, stdlib json only -- no music21 dependency). Repair loop lets the LLM revise A/T/B only, up to max_tries; ASSERT gates on zero violations. classify_roundtrip() confirms the soprano voice still matches the original input melody note-for-note, catching the LLM 'fixing' a violation by silently altering the given melody instead. Default melody: C5 D5 E5 F5 G5 F5 E5 C5 (8 beats). Verified 2026-07-26: the checker correctly caught real parallel octaves/fifths from a model's naive parallel-motion harmonization. Requires: stdlib json only, no new pip dependency.",Music,music21,voice-leading rules satisfied,C1,4 voices,
96,Pharmacovigilance: Drug-Interaction Screening,drug_sim.spl,"SYNTHETIC DEMO ONLY (not a clinical tool). Demonstrates the two-mode split as non-optional: an LLM extracts a structured drug list (name/dose/frequency) from a free-text clinical note (probabilistic); screen_regimen() normalizes names via a synthetic RxNorm-style alias table and checks every pairwise combination against a synthetic DrugBank-style severity table (deterministic). A contraindicated result is a load-bearing safety gate that halts BEFORE narration, unconditionally, drafting a clinical alert instead. A moderate result enters a bounded WHILE repair loop (LLM suggests dropping/substituting one drug, kernel re-screens). ASSERT gates on nothing severe/contraindicated remaining. classify_roundtrip() deterministically recounts drug mentions in the note against the LLM's extraction count, catching silently dropped/invented medications. Default note: sildenafil + nitroglycerin (a well-known contraindicated pair -- life-threatening hypotension). Verified end-to-end 2026-07-26 with ollama:gemma4 on both the contraindicated-halt path and the moderate-repair-loop path. Requires: stdlib json/re only, no new pip dependency.",Drug-Interaction,LLM-only + rules,,C1,,
98,Job-Shop Scheduling via OR-Tools CP-SAT,job_shop.spl,"Classic job-shop scheduling: N jobs x M machines, each job has a fixed sequence of operations. LLM extracts problem structure from natural language (probabilistic); solve_job_shop() runs OR-Tools CP-SAT constraint programming to find the provably-optimal schedule with minimum makespan (deterministic). ASSERT gates on OPTIMAL/FEASIBLE CP-SAT status. Ablation: use_solver=false lets the LLM schedule directly; verify_job_shop() back-substitutes to check no-overlap and precedence constraints. format_gantt() renders an ASCII Gantt chart. Demonstrates C5 (constraint propagation / CP-SAT) solver class. Solver class: C5. Requires: pip install ortools.",Job-Shop,OR-Tools-CP-SAT,makespan optimal,C1,N×M ops,(makespan)
99,Portfolio Optimization via cvxpy (Markowitz),portfolio_opt.spl,"Personal investment demo: given a capital amount and a pool of stock tickers, minimize portfolio variance subject to a target annual return using Markowitz mean-variance optimization. fetch_stock_data() downloads historical prices via yfinance and computes annual returns and covariance matrix (deterministic). optimize_portfolio() runs cvxpy CLARABEL interior-point QP solver (deterministic). ASSERT gates on OPTIMAL status; repair loop relaxes the target return if infeasible. Ablation: use_solver=false lets the LLM suggest weights heuristically; verify_portfolio() checks weight sum, bounds, and non-negativity. LLM interprets weights and capital allocation in plain language. Adaptive: run monthly with fresh data for rebalancing signals. Not financial advice. Requires: pip install cvxpy yfinance.",Portfolio,cvxpy,efficient frontier (return vs risk),C1,3 assets,"(return, risk)"
100,Supply Sourcing (Pareto),supply_sourcing.spl,Supply sourcing Pareto: minimize cost vs maximize fill rate across 3 suppliers (1000 units) via PuLP epsilon-constraint sweep (B1 benchmark),Multi-objective-LP,PuLP+CBC,Pareto front: min-cost=$6500 / max-fill=84%,C1,3,"(cost, fill_rate)"
101,Production Sustainability (Pareto),production_sustainability.spl,Production sustainability Pareto: maximize profit vs minimize carbon footprint for 2 products via PuLP scalarization sweep (B3 benchmark),Multi-objective-LP,PuLP+CBC,Pareto front: profit=$90-$100 / carbon=15-30 kg,C1,2,"(profit, carbon)"
107,Workforce 3-Objective (NSGA-II),workforce_3obj.spl,Workforce 3-objective Pareto surface: minimize cost / maximize quality / minimize risk across 3 shifts via pymoo NSGA-II (B4 benchmark),Multi-objective-EA,pymoo NSGA-II,Pareto surface: 3D cost/quality/risk,C1,3,"(cost, quality, risk)"
108,Robust Supply Chain MILP,robust_milp.spl,Robust supply chain MILP: binary build-vs-lease decision under 3 demand scenarios; two-stage stochastic — naive heuristic says BUILD but MILP finds LEASE saves $1140 (B5 benchmark),Stochastic-MILP,python-mip,LEASE=$4380 vs BUILD=$5520; MILP saves $1140,C1,7,(expected_cost)
102,Z3 SMT Compliance Checker,z3_compliance.spl,"Loan eligibility policy with 5 interconnected rules. Z3 finds SAT (qualifying profile exists) or UNSAT (contradictory rules). Hidden constraint: self-employed + income $40-49K ineligible even with 700 credit score — Z3 surfaces this; LLM misses it.",SMT / Constraint-Satisfaction,z3-solver,SAT: age=18 income=50000 credit_score=650 self_employed=False,C1,6,(satisfiability)
